Title,Category,Link,Notes,Brand,Made In
"Instant Tea, Herbal, Caffeine-Free",Drinks,https://amzn.to/3Foamre,"Third-party screened for pesticides, toxic mold (mycotoxins), and heavy metals.",Pique,USA
"Instant Tea, Black, Caffeinated",Drinks,https://amzn.to/4jhyd9M,"Third-party screened for pesticides, toxic mold (mycotoxins), and heavy metals.",Pique,USA
Stainless Steel Mason Jar Lids,Storage & Organization,https://amzn.to/3F9d04a,One-piece stainless steel lids for mason jars. Regular Mouth and Wide Mouth sizes. Dishwasher safe!,Ball,China
Mason Jars,Storage & Organization,https://amzn.to/4kcM2I7,Glass jars with measurement markings. Available in many sizes and in Regular Mouth or Wide Mouth.,Ball,USA
"Glass Jars, Airtight, for Canning and Food Storage",Storage & Organization,https://amzn.to/43ztURH,Glass jar with detachable glass lid. Natural rubber seal and removable stainless steel clamp. Dishwasher safe. Microwave safe without the clamp.,Luigi Bormioli,Italy
Stainless Steel and Silicone Food Storage Containers,Storage & Organization,https://amzn.to/3ZzYuJt,"Containers are 18/8 stainless steel. Lid is platinum-grade silicone (LFGB—no fillers). Free of BPA, BPS, phthalates and lead!",U Konserve,China
Tallow Skincare,Personal Care,https://www.bellotallow.com,Tallow rendered from American Grassfed Association Certified suet. Finished products are tested to be PFAS-free!,Bello Tallow,USA
Tallow Lip Balm,Personal Care,https://amzn.to/4dplccX,"They render their own tallow, which helps ensure purity and reduced processing additives. The tube is paper, not plastic!",Vintage Tradition,USA
Creatine Monohydrate (from Creapure),Supplements,https://www.livemomentous.com/products/creatine-monohydrate,NSF Certified for Sport.,Momentous,Germany
Creatine Monohydrate (from Creapure),Supplements,https://www.bareperformancenutrition.com/products/creatine-monohydrate,NSF Certified for Sport.,Bare Performance Nutrition,Germany
Creatine Monohydrate (from Creapure),Supplements,https://centenariusnutrition.com/products/creatine?variant=44378488504551,,Centenarius Nutrition,USA
"Whey Isolate Protein Powder, Unflavored",Supplements,https://tahanutrition.com/collections/whey-protein-isolate/products/taha-natural-unflavored-whey-protein-isolate,Certified glyphosate free. This brand's flavored versions contain monk fruit extract. ,TAHA Nutrition,
Vitamin D3 (2500IU),Supplements,https://puori.com/products/d3-vitamin-d-2500,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)",Puori,USA
Collagen Peptides (Hydrolyzed Bovine Type 1 and 3),Supplements,https://puori.com/collections/proteins-collagen/products/cp1-pure-collagen-peptides,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)",Puori,USA
"Collagen (Hydrolyzed Wild-Caught Marine Fish, Types 1, 2, 3, and 4)",Supplements,https://centenariusnutrition.com/products/marine-collagen?variant=46405264015591,,Centenarius Nutrition,USA
"Whey Concentrate Protein Powder, Vanilla",Supplements,https://puori.com/collections/muscle-strength/products/pw1-whey-protein-bourbon-vanilla?variant=43020536676445,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)",Puori,Canada
"Whey Concentrate Protein Powder, Chocolate",Supplements,https://puori.com/products/pw1-whey-protein-dark-chocolate?variant=43020555812957,"All of Puori’s products are batch-tested for contaminants (heavy metals, BPA, glyphosate, label accuracy, etc)",Puori,Canada
Vitamin K2 as MK-7,Supplements,https://healthyorigins.com/products/vitamin-k2-as-mk-7-100mcg,K2 from natto. Menaquinone 7 has superior absorption.,Healthy Origins,USA
Omega-3 Fish Oil,Supplements,https://carlsonlabs.com/maximum-omega-2000/,Some fish oil supplements can be rancid. This one is lab tested for potency and freshness. ,Carlson Labs,USA
Multipurpose Cleaner,Cleaning,https://back-to-basics-llc.myshopify.com/products/back-to-basics-cleaner-than-clean,Safe for skin too!,Back to Basics,USA
Non-stick Pan,Cookware,https://amzn.to/4dwlPBL,No coating! Non-stick properties come from pattern of the titanium cook surface.,Our Place,
Nattokinase,Supplements,https://arthurandrew.com/products/nattovena,"Effective dosage is closer to 10,000 IU. We take 2 of these a day on an empty stomach.",Arthur Andrew Medical,
"Matcha, Organic Ceremonial",Drinks,https://amzn.to/3YXTdeH,"Third-party screened for pesticides, toxic mold (mycotoxins), and heavy metals. Sourced from Kagoshima, Japan.",Pique,USA
"Paper Towels, Bamboo",Cleaning,https://www.reelpaper.com/products/bamboo-paper-towels,"Free of plastic, BPA, chlorine and dyes. Recycled paper towels can contain PFAS from receipt paper; bamboo avoids this.",Reel Paper,USA
"Toilet Paper, Bamboo",Other Consumables,https://www.reelpaper.com/collections/shop-all/toilet-paper,"Free of plastic, BPA, chlorine and dyes. Recycled toilet paper can contain PFAS from receipt paper; bamboo avoids this.",Reel Paper,China
Xylitol Mints,Pantry,https://zellies.com/collections/mints,Made in the USA and Canada. ,Zellies,USA
"Instant Coffee, Organic",Drinks,https://store.cafealtura.com/products/organic-instant-coffee?variant=33899358519428,,Cafe Altura,European Union
"Instant Coffee, Organic Decaf",Drinks,https://store.cafealtura.com/products/decaf-organic-instant-coffee?variant=34156159467652,,Cafe Altura,European Union
"Gelatin, Grass-Fed Beef",Pantry,https://greatlakeswellness.com/products/beef-gelatin-single-can?selling_plan=1241153671,,Great Lakes Wellness,
Tallow-Based Skincare,Other Consumables,https://www.bellotallow.com/,Uses American Grassfed Association Certified suet and tests for PFAS contamination. ,Bello Tallow,USA
Protein Bars,Pantry,https://eatjacob.com/,"Grass-fed protein and fat, sweetened with honey, nothing artificial. Tested for BOA/BPS and herbicides (glyphosate and AMPA).",Jacob,USA
Glycine Powder,Supplements,https://centenariusnutrition.com/products/glycine?variant=40697134645421,Pharmaceutical-grade Glycine from Japan.,Centenarius Nutrition,USA
Sourdough Bakery Products,Bread,https://ovenfreshdelivery.com/,,Bread of Heaven,USA
"Instant Coffee, Low-Acid Organic",Drinks,https://fabulacoffee.com/products/organic-craft-instant-coffee-regular,Mold-free!,Fabula Coffee,
"Instant Coffee, Decaf, Low-Acid Organic",Drinks,https://fabulacoffee.com/products/organic-craft-instant-coffee-decaf?_pos=2&_sid=8ad6e8bb6&_ss=r,Mold-free!,Fabula Coffee,
Kitchen Knife Set,Cookware,https://amzn.to/4mw2JQi,One piece stainless steel including the handle. Made in USA. ,Bianco Instruments,USA
Nail Care Tools and Tweezers,Personal Care,https://www.biancoinstruments.com/pro-nail-tech-nippers-cutters,Made in USA. ,Bianco Instruments,USA
"Tourniquet, ETQ (Everyday Tourniquet)",Medical,https://www.snakestaffsystems.com/buy-now,"Small and easy to carry, but often sold out. Made in USA.",Snakestaff Systems,USA
"Magnesium, Malate and Glycinate",Supplements,https://innovixlabs.com/products/advanced-magnesium,Passed heavy metals testing.,Innovix Labs,USA
"Toothpaste, Fluoride-Free Hydroxyapatite",Personal Care,https://getsuperteeth.com/products/prebiotic-mineral-toothpaste-3-pack-bundle,"Avoid nano hydroxyapatite, which may end up in the bloodstream and cause inflammation. This uses micro hydroxyapatite. ",Superteeth,USA
"Backpacks, Casual",Bags,https://remoteeq.com/,"Made in USA: San Diego, CA.",Remote Eq,USA
"Waist Packs, Pouches, and Packing Cubes",Bags,https://www.hartfordgearco.com/,"Made in USA: Hartford, CT.",Hartford Gear Co.,USA
Medical Supplies and IFAK Pouches,Medical,https://ltcreed.com/,,LTC Creed,
Blue-Light-Free Tablet Computer,Electronics,https://daylightcomputer.com/product,,Daylight Computer,
Organic Cotton Clothing for Men and Women,Clothing,https://wearpact.com/,,Pact,India
"Shoes, Kids, Leather with Minimal Sole",Clothing,https://starryknightdesign.com/,"Made in Corvallis, Oregon. American Hand Rubbed leather is all USA hides.",Starry Knight Design,USA
eBooks for download ,Books,https://standardebooks.org/bulk-downloads/collections,Classic books in electronic format.,Standard eBooks,
Sunglasses ,Clothing,https://www.randolphusa.com/,Very high quality. Made in USA.,Randolph Engineering,USA
Sunglasses,Clothing,https://aoeyewear.com/,Very high quality. Made in USA. ,American Optical,USA
"Socks, Kids and Adults",Clothing,https://www.smartwool.com/,"High percentage merino wool, minimal nylon to reduce microplastics.",Smartwool,USA
"Shoes, Minimalist Barefoot",Clothing,https://xeroshoes.com/,Wide toe box promotes foot health.,Xero Shoes,China
"Shoes, Minimalist Barefoot",Clothing,https://www.vivobarefoot.com/us/,,Vivobarefoot,Vietnam
"Shoes, Minimalist Barefoot",Clothing,https://weartolos.com/,Wide toe box promotes foot health.,Tolos,
"Organic Cotton Clothing for Men, Women, and Kids",Clothing,https://matethelabel.com/,"Avoids pesticides, formaldehyde, microplastics, carcinogens, endocrine-disrupters, and non-organic dyes. ",Mate the Label,USA
Organic Cotton Clothing for Kids,Clothing,https://monicaandandy.com/,Code WELCOME20 for 20% off. Also check for (frequent) sales.,Monica & Andy,India
Organic Cotton for Women and Men,Clothing,https://www.happyearthapparel.com/,,Happy Earth Apparel,India
"Salt, Maldon Sea Salt Flakes",Pantry,https://amzn.to/4id3pqv,Low or non-detectable heavy metals contamination.,Maldon,England
"Salt, Morton Iodized Salt",Pantry,https://amzn.to/3FY8vt2,Low or non-detectable heavy metals contamination.,Morton,USA
"Salt, Diamond Crystal Kosher Salt",Pantry,https://amzn.to/42uMRnZ,Non-detectable heavy metals contamination.,Diamond Crystal Kosher Salt,USA
"Butter, Salted, Organic",Fridge,https://amzn.to/4cqthxx,PFAS-free wrapper.,365 Whole Foods,
"Butter, Salted, Organic",Fridge,https://amzn.to/4iawT8q,PFAS-free wrapper. ,Horizon Organic,
"Coconut Oil, Organic Virgin",Pantry,https://amzn.to/42pKdQa,One of the lowest phthalate contamination,Dr Bronner’s,
Spices and Herbs,Pantry,https://amzn.to/3G2m2A1,This brand consistently tests low in heavy metals contamination. ,Simply Organic,
"Ghee, Organic Valley Pasture-Raised",Pantry,https://amzn.to/44hPU5i,Low in phthalate contamination. ,Organic Valley,
Disinfectant Wipes,Cleaning,https://amzn.to/4iaxirq,"No dyes or artificial fragrances. Bleach free, active ingredient: thymol.",Seventh Generation,
"Wet Wipes, Face and Diaper Wipes",Personal Care,https://amzn.to/3GgVsmw,Plastic-free. Made in UK. ,Jackson Reece,
"Dry Wipes, 100% Cotton",Personal Care,https://amzn.to/4j6fkYl,Add water to make a wet wipe!,Whoopsie Wipes,
Facial Tissues,Personal Care,https://amzn.to/4jnDn4z,"Recycled tissues can contain BPA from receipt paper. Bamboo tissues avoid this, but can be less soft feeling. These are one of the softer brands. ",Caboo,
Cotton Buds,Personal Care,https://amzn.to/4j5LnHU,Chlorine-free. Made with organic cotton and bamboo.,Clean Skin Club,
Dental Floss Picks,Personal Care,https://amzn.to/3YnDbu6,BPA and PFAS free!,The Humble Co.,
"Choline, Alpha GPC",Supplements,https://www.livemomentous.com/products/alpha-gpc,NSF Certified for Sport. ,Momentous,
Magnesium L-Threonate,Supplements,https://www.livemomentous.com/products/magnesium-threonate,NSF Certified for Sport.,Momentous,USA